symbol,timestamp,price,high,low,prev_close
"AAPL","2025-05-17 09:21:03.976157+00",211.26,212.57,209.77,211.45
"MSFT","2025-05-17 09:21:06.23761+00",454.27,454.36,448.73,453.13
"AMZN","2025-05-17 09:21:07.607462+00",205.59,206.85,204.374,205.17
"NVDA","2025-05-17 09:21:09.193224+00",135.4,136.35,133.46,134.83
"GOOGL","2025-05-17 09:21:10.509904+00",166.19,169.35,165.62,163.96
"TSLA","2025-05-17 09:21:12.075393+00",349.98,351.62,342.33,342.82
"META","2025-05-17 09:21:13.599+00",640.34,640.44,626.15,643.88
"BRK.B","2025-05-17 09:21:15.137873+00",514.31,514.33,506.8,507.33
"UNH","2025-05-17 09:21:16.728817+00",291.91,294.49,269.135,274.35
"JPM","2025-05-17 09:21:18.3171+00",267.56,268.4593,264.71,267.49
"JNJ","2025-05-17 09:21:19.778076+00",151.33,151.5,149.22,149.61
"XOM","2025-05-17 09:21:21.176154+00",108.19,108.89,107.45,108.58
"V","2025-05-17 09:21:22.567743+00",365.12,366.19,360.89,362.3
"PG","2025-05-17 09:21:24.055345+00",163.28,163.43,161.85,162.41
"MA","2025-05-17 09:21:25.671335+00",583.28,584.285,580.43,582.2
"CVX","2025-05-17 09:21:27.245464+00",142.1,143,140.696,142.26
"PEP","2025-05-17 09:21:28.653884+00",131.98,132.26,130.65,131.5
"COST","2025-05-17 09:21:30.030315+00",1025.83,1028.262,1009,1010.47
"KO","2025-05-17 09:21:31.604525+00",72,72.26,71.43,71.61
"GE","2025-05-17 09:21:33.167354+00",231.78,232.32,227.59,229.38
"MS","2025-05-17 09:21:34.47829+00",132.18,132.98,131.79,132.51
"NCLH","2025-05-17 09:21:36.03126+00",19.27,19.37,19.08,19.09
